,complexity,loss,equation,score,sympy_format,lambda_format
10,21,4.9377114e-10,(x0 * ((x2 + -5.0258336) * 3.1857315e-5)) + (x2 * (1.4556392e-6 + (((9.282316e-6 / (x2 + -1.3807185)) + -6.50345e-8) * x1))),0.09043693714934173,x0*(x2 - 5.0258336)*3.1857315e-5 + x2*(x1*(-6.50345e-8 + 9.282316e-6/(x2 - 1.3807185)) + 1.4556392e-6),PySRFunction(X=>x0*(x2 - 5.0258336)*3.1857315e-5 + x2*(x1*(-6.50345e-8 + 9.282316e-6/(x2 - 1.3807185)) + 1.4556392e-6))
11,23,4.831259e-10,(((((9.966182e-6 / x2) + -7.143476e-8) * (x1 + (x0 * x2))) + 1.4653633e-6) + (x0 * ((-0.0002290473 / x2) + 2.7782491e-5))) * x2,0.010897424138391043,x2*(x0*(2.7782491e-5 - 0.0002290473/x2) + (-7.143476e-8 + 9.966182e-6/x2)*(x0*x2 + x1) + 1.4653633e-6),PySRFunction(X=>x2*(x0*(2.7782491e-5 - 0.0002290473/x2) + (-7.143476e-8 + 9.966182e-6/x2)*(x0*x2 + x1) + 1.4653633e-6))
12,25,3.822788e-10,((((x2 * x0) + x1) * ((9.40478e-6 / (x2 + -1.3346053)) + -6.7117014e-8)) + ((((-0.0002334228 / x2) + 2.8161177e-5) * x0) + 1.4894291e-6)) * x2,0.1170635484396007,x2*(x0*(2.8161177e-5 - 0.0002334228/x2) + (-6.7117014e-8 + 9.40478e-6/(x2 - 1.3346053))*(x0*x2 + x1) + 1.4894291e-6),PySRFunction(X=>x2*(x0*(2.8161177e-5 - 0.0002334228/x2) + (-6.7117014e-8 + 9.40478e-6/(x2 - 1.3346053))*(x0*x2 + x1) + 1.4894291e-6))
13,27,3.6209677e-10,x2 * (((((-0.0002334228 / x2) + 2.8161177e-5) * x0) + ((x1 + ((x2 * x0) + -0.554962)) * ((9.40478e-6 / (x2 + -1.3576497)) + -6.7117014e-8))) + 1.4894291e-6),0.027119344394330218,x2*(x0*(2.8161177e-5 - 0.0002334228/x2) + (-6.7117014e-8 + 9.40478e-6/(x2 - 1.3576497))*(x0*x2 + x1 - 0.554962) + 1.4894291e-6),PySRFunction(X=>x2*(x0*(2.8161177e-5 - 0.0002334228/x2) + (-6.7117014e-8 + 9.40478e-6/(x2 - 1.3576497))*(x0*x2 + x1 - 0.554962) + 1.4894291e-6))
14,29,3.452515e-10,(x2 + x0) * (((((9.411169e-6 / (x2 + -1.3576497)) + -6.709343e-8) * ((x1 + -0.7300997) + (x0 * x2))) + (x0 * ((-0.00023349133 / x2) + 2.8081111e-5))) + 1.4946312e-6),0.02381917979314193,(x0 + x2)*(x0*(2.8081111e-5 - 0.00023349133/x2) + (-6.709343e-8 + 9.411169e-6/(x2 - 1.3576497))*(x0*x2 + x1 - 0.7300997) + 1.4946312e-6),PySRFunction(X=>(x0 + x2)*(x0*(2.8081111e-5 - 0.00023349133/x2) + (-6.709343e-8 + 9.411169e-6/(x2 - 1.3576497))*(x0*x2 + x1 - 0.7300997) + 1.4946312e-6))
15,31,2.953511e-10,(x2 * ((((9.164212e-6 / (x2 + -1.7964741)) + -6.494394e-8) * ((x2 * x0) + x1)) + 1.2325879e-6)) + (x0 * (((-0.00022818429 / x2) + 2.8478553e-5) * ((x0 * 11.82857) + x2))),0.07805415940831928,x0*(2.8478553e-5 - 0.00022818429/x2)*(x0*11.82857 + x2) + x2*((-6.494394e-8 + 9.164212e-6/(x2 - 1.7964741))*(x0*x2 + x1) + 1.2325879e-6),PySRFunction(X=>x0*(2.8478553e-5 - 0.00022818429/x2)*(x0*11.82857 + x2) + x2*((-6.494394e-8 + 9.164212e-6/(x2 - 1.7964741))*(x0*x2 + x1) + 1.2325879e-6))
16,33,2.8038222e-10,(((-0.0002450771 / x2) + 2.870253e-5) * (x0 * (x2 + (x0 * 8.558154)))) + (x2 * ((((9.189254e-6 / (x2 + -1.5179079)) + -6.429991e-8) * ((x1 + -0.8817202) + (x2 * x0))) + 1.3983876e-6)),0.026005537203121435,x0*(2.870253e-5 - 0.0002450771/x2)*(x0*8.558154 + x2) + x2*((-6.429991e-8 + 9.189254e-6/(x2 - 1.5179079))*(x0*x2 + x1 - 0.8817202) + 1.3983876e-6),PySRFunction(X=>x0*(2.870253e-5 - 0.0002450771/x2)*(x0*8.558154 + x2) + x2*((-6.429991e-8 + 9.189254e-6/(x2 - 1.5179079))*(x0*x2 + x1 - 0.8817202) + 1.3983876e-6))
17,35,2.691279e-10,((x0 / 0.0035624858) * (((-7.383283e-7 / (x2 + (x0 * x2))) + 1.0184572e-7) * x2)) + (x2 * ((((9.231811e-6 / (x2 + -1.5697842)) + -6.534945e-8) * ((x2 * x0) + (x1 + -1.5697842))) + 1.3967968e-6)),0.020483506223257317,x0*x2*(1.0184572e-7 - 7.383283e-7/(x0*x2 + x2))/0.0035624858 + x2*((-6.534945e-8 + 9.231811e-6/(x2 - 1.5697842))*(x0*x2 + x1 - 1.5697842) + 1.3967968e-6),PySRFunction(X=>x0*x2*(1.0184572e-7 - 7.383283e-7/(x0*x2 + x2))/0.0035624858 + x2*((-6.534945e-8 + 9.231811e-6/(x2 - 1.5697842))*(x0*x2 + x1 - 1.5697842) + 1.3967968e-6))
18,37,2.5999336e-10,((x0 / 0.0035624858) * (((-7.383283e-7 / (x2 + (x0 * x2))) + 1.0184572e-7) * (x2 + x0))) + (x2 * ((((9.231811e-6 / (x2 + -1.5697842)) + -6.534945e-8) * (((x2 * x0) + x1) + -1.5697842)) + 1.3967968e-6)),0.01726531953022993,x0*(1.0184572e-7 - 7.383283e-7/(x0*x2 + x2))*(x0 + x2)/0.0035624858 + x2*((-6.534945e-8 + 9.231811e-6/(x2 - 1.5697842))*(x0*x2 + x1 - 1.5697842) + 1.3967968e-6),PySRFunction(X=>x0*(1.0184572e-7 - 7.383283e-7/(x0*x2 + x2))*(x0 + x2)/0.0035624858 + x2*((-6.534945e-8 + 9.231811e-6/(x2 - 1.5697842))*(x0*x2 + x1 - 1.5697842) + 1.3967968e-6))
19,39,2.3209301e-10,((((x1 * -0.036627524) + x2) * x0) * ((-0.00020445373 / (x2 + (x2 * x0))) + 2.8678653e-5)) + (x2 * ((((1.0720221e-5 / (x2 + -1.5927266)) + -7.7200454e-8) * (((x0 * x2) + (x1 + -1.5523096)) / 1.1608144)) + 1.486828e-6)),0.05675894786508012,x0*(2.8678653e-5 - 0.00020445373/(x0*x2 + x2))*(x1*(-0.036627524) + x2) + x2*((-7.7200454e-8 + 1.0720221e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.1608144 + 1.486828e-6),PySRFunction(X=>x0*(2.8678653e-5 - 0.00020445373/(x0*x2 + x2))*(x1*(-0.036627524) + x2) + x2*((-7.7200454e-8 + 1.0720221e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.1608144 + 1.486828e-6))
20,41,2.0762737e-10,((x2 + (x1 * -0.03662748)) * ((x0 / 0.0020238631) * ((-4.1425196e-7 / (x2 + (x2 * x0))) + 5.7202264e-8))) + (x2 * (((((x0 * x2) + -1.5523096) + x1) * (((1.0619334e-5 / (x2 + -1.5927266)) + -7.5024e-8) / 1.155993)) + 1.4202284e-6)),0.055696606909525694,x0*(5.7202264e-8 - 4.1425196e-7/(x0*x2 + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + x2*((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.155993 + 1.4202284e-6),PySRFunction(X=>x0*(5.7202264e-8 - 4.1425196e-7/(x0*x2 + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + x2*((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.155993 + 1.4202284e-6))
21,43,1.9618428e-10,((x2 + (x1 * -0.03662748)) * ((x0 / 0.0020238631) * ((-4.1425196e-7 / (x2 + (x2 * x0))) + 5.7202264e-8))) + ((x0 + x2) * ((((1.0619334e-5 / (x2 + -1.5927266)) + -7.5024e-8) * (((x0 * x2) + (x1 + -1.5523096)) / 1.155993)) + 1.4202284e-6)),0.02834528054076347,x0*(5.7202264e-8 - 4.1425196e-7/(x0*x2 + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + (x0 + x2)*((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.155993 + 1.4202284e-6),PySRFunction(X=>x0*(5.7202264e-8 - 4.1425196e-7/(x0*x2 + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + (x0 + x2)*((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.155993 + 1.4202284e-6))
22,45,1.9116549e-10,((x2 + (x1 * -0.03662748)) * ((x0 / 0.0020238631) * ((-4.1425196e-7 / (x2 + (x2 * x0))) + 5.7202264e-8))) + ((x0 + (x0 + x2)) * ((((1.0619334e-5 / (x2 + -1.5927266)) + -7.5024e-8) * (((x0 * x2) + (x1 + -1.5523096)) / 1.155993)) + 1.4202284e-6)),0.012957464451105977,x0*(5.7202264e-8 - 4.1425196e-7/(x0*x2 + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + ((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.155993 + 1.4202284e-6)*(x0 + x0 + x2),PySRFunction(X=>x0*(5.7202264e-8 - 4.1425196e-7/(x0*x2 + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + ((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.5523096)/1.155993 + 1.4202284e-6)*(x0 + x0 + x2))
23,47,1.8624034e-10,((((-4.1425196e-7 / (((x2 + -1.5927266) * x0) + x2)) + 5.7202264e-8) * (x2 + (x1 * -0.03662748))) * (x0 / 0.0020238631)) + (((((((x0 * x2) + x1) + -1.546232) / 1.155993) * ((1.0619334e-5 / (x2 + -1.5927266)) + -7.5024e-8)) + 1.4202284e-6) * ((x0 + x2) + x0)),0.013050751276072841,x0*(5.7202264e-8 - 4.1425196e-7/(x0*(x2 - 1.5927266) + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + ((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.546232)/1.155993 + 1.4202284e-6)*(x0 + x0 + x2),PySRFunction(X=>x0*(5.7202264e-8 - 4.1425196e-7/(x0*(x2 - 1.5927266) + x2))*(x1*(-0.03662748) + x2)/0.0020238631 + ((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.546232)/1.155993 + 1.4202284e-6)*(x0 + x0 + x2))
24,49,1.8343387e-10,(((-4.1425196e-7 / (x2 + ((x2 + -0.6548324) * x0))) + 5.7202264e-8) * ((((x0 + x2) + (x1 * -0.03662748)) * x0) / 0.0020238631)) + ((((((x0 * x2) + (x1 + -1.546232)) / 1.155993) * (-7.5024e-8 + (1.0619334e-5 / (x2 + -1.5927266)))) + 1.4202284e-6) * ((x0 + x2) + x0)),0.007591884536277018,x0*(5.7202264e-8 - 4.1425196e-7/(x0*(x2 - 0.6548324) + x2))*(x0 + x1*(-0.03662748) + x2)/0.0020238631 + ((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.546232)/1.155993 + 1.4202284e-6)*(x0 + x0 + x2),PySRFunction(X=>x0*(5.7202264e-8 - 4.1425196e-7/(x0*(x2 - 0.6548324) + x2))*(x0 + x1*(-0.03662748) + x2)/0.0020238631 + ((-7.5024e-8 + 1.0619334e-5/(x2 - 1.5927266))*(x0*x2 + x1 - 1.546232)/1.155993 + 1.4202284e-6)*(x0 + x0 + x2))
